ffi,ffi_name,ffi_desp,sic_s,sic_e,sic_desp
1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",0100,0999,
1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2000,2399,
1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2700,2749,
1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2770,2799,
1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",3100,3199,
1,NoDur,"Consumer Nondurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",3940,3989,
2,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",2500,2519,
2,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",2590,2599,
2,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",3630,3659,
2,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",3710,3711,
2,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",3714,3714,
2,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",3716,3716,
2,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",3750,3751,
2,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",3792,3792,
2,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",3900,3939,
2,Durbl,"Consumer Durables -- Cars, TVs, Furniture, Household Appliances",3990,3999,
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2520,2589,
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2600,2699,
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2750,2769,
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3000,3099,
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3200,3569,
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3580,3629,
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3700,3709,
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3712,3713,
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3715,3715,
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3717,3749,
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3752,3791,
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3793,3799,
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3830,3839,
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3860,3899,
4,Enrgy,"Oil, Gas, and Coal Extraction and Products",1200,1399,
4,Enrgy,"Oil, Gas, and Coal Extraction and Products",2900,2999,
5,Chems,Chemicals and Allied Products,2800,2829,
5,Chems,Chemicals and Allied Products,2840,2899,
6,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",3570,3579,
6,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",3660,3692,
6,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",3694,3699,
6,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",3810,3829,
6,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",7370,7379,
7,Telcm,Telephone and Television Transmission,4800,4899,
8,Utils,Utilities,4900,4949,
9,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5000,5999,
9,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",7200,7299,
9,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",7600,7699,
10,Hlth,"Healthcare, Medical Equipment, and Drugs",2830,2839,
10,Hlth,"Healthcare, Medical Equipment, and Drugs",3693,3693,
10,Hlth,"Healthcare, Medical Equipment, and Drugs",3840,3859,
10,Hlth,"Healthcare, Medical Equipment, and Drugs",8000,8099,
11,Money,Finance,6000,6999,
